,Code,Year,Value,Value (TWh)
6730,ERI,1994-01-01,0.95,11.0485
6731,ERI,1995-01-01,0.998,11.60674
6732,ERI,1996-01-01,1.047,12.17661
6733,ERI,1997-01-01,1.042,12.11846
6734,ERI,1998-01-01,0.677,7.873510000000001
6735,ERI,1999-01-01,0.702,8.16426
6736,ERI,2000-01-01,0.709,8.24567
6737,ERI,2001-01-01,0.746,8.675980000000001
6738,ERI,2002-01-01,0.718,8.350340000000001
6739,ERI,2003-01-01,0.825,9.59475
6740,ERI,2004-01-01,0.698,8.11774
6741,ERI,2005-01-01,0.703,8.17589
6742,ERI,2006-01-01,0.663,7.7106900000000005
6743,ERI,2007-01-01,0.671,7.803730000000001
6744,ERI,2008-01-01,0.674,7.8386200000000015
6745,ERI,2009-01-01,0.707,8.22241
6746,ERI,2010-01-01,0.733,8.524790000000001
6747,ERI,2011-01-01,0.776,9.024880000000001
6748,ERI,2012-01-01,0.796,9.257480000000001
6749,ERI,2013-01-01,0.802,9.32726
6750,ERI,2014-01-01,0.823,9.57149
6751,ERI,2015-01-01,0.844,9.81572
6752,ERI,2016-01-01,0.866,10.07158
6753,ERI,2017-01-01,0.876,10.18788
6754,ERI,2018-01-01,0.903,10.501890000000001
6755,ERI,2019-01-01,0.924,10.746120000000001
6756,ERI,2020-01-01,0.936,10.88568
6757,ERI,2021-01-01,0.0,0.0
6758,GAB,1960-01-01,0.0,0.0
6759,GAB,1961-01-01,0.0,0.0
6760,GAB,1962-01-01,0.0,0.0
6761,GAB,1963-01-01,0.0,0.0
6762,GAB,1964-01-01,0.0,0.0
6763,GAB,1965-01-01,0.0,0.0
6764,GAB,1966-01-01,0.0,0.0
6765,GAB,1967-01-01,0.0,0.0
6766,GAB,1968-01-01,0.0,0.0
6767,GAB,1969-01-01,0.0,0.0
6768,GAB,1970-01-01,0.0,0.0
6769,GAB,1971-01-01,1.071,12.45573
6770,GAB,1972-01-01,1.077,12.52551
6771,GAB,1973-01-01,1.444,16.79372
6772,GAB,1974-01-01,1.574,18.30562
6773,GAB,1975-01-01,1.299,15.10737
6774,GAB,1976-01-01,1.246,14.49098
6775,GAB,1977-01-01,1.358,15.793540000000002
6776,GAB,1978-01-01,1.542,17.93346
6777,GAB,1979-01-01,1.365,15.87495
6778,GAB,1980-01-01,1.374,15.979620000000002
6779,GAB,1981-01-01,1.542,17.93346
6780,GAB,1982-01-01,1.587,18.45681
6781,GAB,1983-01-01,1.633,18.99179
6782,GAB,1984-01-01,1.519,17.66597
6783,GAB,1985-01-01,1.36,15.816800000000002
6784,GAB,1986-01-01,1.359,15.80517
6785,GAB,1987-01-01,1.289,14.99107
6786,GAB,1988-01-01,1.364,15.863320000000002
6787,GAB,1989-01-01,1.27,14.770100000000001
6788,GAB,1990-01-01,1.182,13.74666
6789,GAB,1991-01-01,1.22,14.188600000000001
6790,GAB,1992-01-01,1.304,15.16552
6791,GAB,1993-01-01,1.38,16.0494
6792,GAB,1994-01-01,1.223,14.223490000000002
6793,GAB,1995-01-01,1.341,15.595830000000001
6794,GAB,1996-01-01,1.397,16.247110000000003
6795,GAB,1997-01-01,1.414,16.44482
6796,GAB,1998-01-01,1.504,17.49152
6797,GAB,1999-01-01,1.464,17.026320000000002
6798,GAB,2000-01-01,1.471,17.107730000000004
6799,GAB,2001-01-01,1.579,18.363770000000002
6800,GAB,2002-01-01,1.906,22.16678
6801,GAB,2003-01-01,2.241,26.06283
6802,GAB,2004-01-01,2.601,30.249630000000003
6803,GAB,2005-01-01,3.035,35.297050000000006
6804,GAB,2006-01-01,3.413,39.69319
6805,GAB,2007-01-01,3.765,43.786950000000004
6806,GAB,2008-01-01,4.143,48.18309
6807,GAB,2009-01-01,4.533,52.718790000000006
6808,GAB,2010-01-01,5.085,59.13855
6809,GAB,2011-01-01,4.09,47.566700000000004
6810,GAB,2012-01-01,3.61,41.984300000000005
6811,GAB,2013-01-01,5.308,61.732040000000005
6812,GAB,2014-01-01,5.157,59.975910000000006
6813,GAB,2015-01-01,5.209,60.58067
6814,GAB,2016-01-01,5.227,60.79001000000001
6815,GAB,2017-01-01,4.964,57.73132000000001
6816,GAB,2018-01-01,4.879,56.74277
6817,GAB,2019-01-01,4.754,55.28902
6818,GAB,2020-01-01,4.887,56.83581
6819,GAB,2021-01-01,0.0,0.0
6820,GTM,1960-01-01,0.0,0.0
6821,GTM,1961-01-01,0.0,0.0
6822,GTM,1962-01-01,0.0,0.0
6823,GTM,1963-01-01,0.0,0.0
6824,GTM,1964-01-01,0.0,0.0
6825,GTM,1965-01-01,0.0,0.0
6826,GTM,1966-01-01,0.0,0.0
6827,GTM,1967-01-01,0.0,0.0
6828,GTM,1968-01-01,0.0,0.0
6829,GTM,1969-01-01,0.0,0.0
6830,GTM,1970-01-01,0.0,0.0
6831,GTM,1971-01-01,2.735,31.80805
6832,GTM,1972-01-01,2.82,32.7966
6833,GTM,1973-01-01,2.946,34.26198
6834,GTM,1974-01-01,3.027,35.204010000000004
6835,GTM,1975-01-01,3.333,38.76279
6836,GTM,1976-01-01,3.564,41.44932
6837,GTM,1977-01-01,3.78,43.9614
6838,GTM,1978-01-01,3.871,45.01973
6839,GTM,1979-01-01,4.106,47.75278
6840,GTM,1980-01-01,3.793,44.112590000000004
6841,GTM,1981-01-01,3.689,42.90307000000001
6842,GTM,1982-01-01,3.625,42.158750000000005
6843,GTM,1983-01-01,3.503,40.73989
6844,GTM,1984-01-01,3.701,43.04263
6845,GTM,1985-01-01,3.77,43.8451
6846,GTM,1986-01-01,3.62,42.10060000000001
6847,GTM,1987-01-01,3.825,44.484750000000005
6848,GTM,1988-01-01,3.979,46.27577
6849,GTM,1989-01-01,4.131,48.043530000000004
6850,GTM,1990-01-01,4.412,51.31156
6851,GTM,1991-01-01,4.537,52.76531
6852,GTM,1992-01-01,4.787,55.672810000000005
6853,GTM,1993-01-01,4.772,55.498360000000005
6854,GTM,1994-01-01,5.029,58.48727
6855,GTM,1995-01-01,5.326,61.94138
6856,GTM,1996-01-01,5.474,63.662620000000004
6857,GTM,1997-01-01,5.728,66.61664
6858,GTM,1998-01-01,6.227,72.42001
6859,GTM,1999-01-01,6.863,79.81669000000001
6860,GTM,2000-01-01,7.205,83.79415
6861,GTM,2001-01-01,7.393,85.98059
6862,GTM,2002-01-01,8.473,98.54099000000002
6863,GTM,2003-01-01,8.646,100.55298000000002
6864,GTM,2004-01-01,8.912,103.64656000000002
6865,GTM,2005-01-01,9.117,106.03071000000001
